title,description,url,publicationDate,category,authors,text
Texas’ Long History of Hollowing Out Women’s Health Care,It’s a watershed moment in  a long-running war on reproductive rights in the state.,https://www.nytimes.com/2021/09/07/opinion/texas-abortion-law-supreme-court.html,2021-09-07,Opinion,By Mary Tuma,"In a stunning move, the U.S. Supreme Court allowed a sweeping law to take effect in Texas last week that eradicates nearly all abortion care in the second-largest state in the country."
Democrats Press Biden Administration to Take On Texas Abortion Law,House Democrats urged the Justice Department to prosecute anyone who tries to sue those who help women seeking abortions.,https://www.nytimes.com/2021/09/07/us/politics/democrats-texas-abortion-law.html,2021-09-07,U.S.,By Michael S. Schmidt,"Democrats and reproductive rights activists pressed the Biden administration on Tuesday to take more aggressive action to stop a Texas law that prohibits abortions after six weeks of pregnancy, even as administration officials and legal experts acknowledged it would be difficult to curtail the law in the coming months."
Quotation of the Day: Mexican Court Rules Abortion Is Not a Crime,"Quotation of the Day for Wednesday, September 8, 2021.",https://www.nytimes.com/2021/09/07/todayspaper/quotation-of-the-day-mexican-court-rules-abortion-is-not-a-crime.html,2021-09-08,Today’s Paper,,"“Today is a historic day for the rights of all Mexican women. It is a watershed in the history of the rights of all women, especially the most vulnerable.”"
Abortion Is No Longer a Crime in Mexico. But Most Women Still Can’t Get One.,"The Supreme Court’s decision set a legal precedent for the nation. But applying it to all of Mexico’s states will be a long path, and women are still facing prosecution.",https://www.nytimes.com/2021/09/08/world/americas/mexico-abortion-access.html,2021-09-08,World,By Natalie Kitroeff and Oscar Lopez,"MEXICO CITY — When the Supreme Court in Mexico issued a historic decision on Tuesday declaring that having an abortion was not a crime, activists across the country celebrated. On Wednesday, they got back to work, taking on the long and arduous process of ensuring that the legal shift applies across Mexico."
Samantha Bee Blasts Supreme Court for Allowing the Texas Abortion Ban,"The “Full Frontal” host wasn’t happy about the state’s law, which outlaws abortion after six weeks, or the high court’s decision not to block it.",https://www.nytimes.com/2021/09/09/arts/television/samantha-bee-texas-abortion.html,2021-09-09,Arts,By Giovanni Russonello,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now."
Texas’ Abortion Law Should Force America to Change Its Ways,A law preserving the life of a human being at any stage can be considered “extreme” only within a distorted social context.,https://www.nytimes.com/2021/09/09/opinion/texas-abortion-pro-life.html,2021-09-09,Opinion,By Karen Swallow Prior,"Abortion is a failure for every woman and her unborn child — a failure of love, justice and mercy. Texas’ new abortion law is far from perfect, but I hope it can move us closer to these ideals."
God Has No Place in Supreme Court Opinions,Republican officeholders are no longer coy about their religion-driven mission to stop abortion.,https://www.nytimes.com/2021/09/09/opinion/abortion-supreme-court-religion.html,2021-09-09,Opinion,By Linda Greenhouse,"One hundred and fifty years ago, a woman named Myra Bradwell brought a U.S. Supreme Court case claiming a constitutional right to be admitted to the Illinois bar. She had passed the state’s bar exam with high honors, but the Illinois Supreme Court refused her application, saying that when the state General Assembly gave the court the power to grant law licenses, “it was with not the slightest expectation that this privilege would be extended to women.”"
Which Values Should Guide America’s Laws?,Reflections on Texas’ abortion law.,https://www.nytimes.com/2021/09/09/opinion/texas-abortion-scotus.html,2021-09-09,Opinion,By Eleanor Barkhorn,This article also appears in the Opinion Today newsletter. You can sign up here to receive it in your inbox each weekday morning.
What the Texas Abortion Law Means for California,Exploring the future of abortion access in the state.,https://www.nytimes.com/2021/09/09/us/california-abortion-texas.html,2021-09-09,U.S.,By Soumya Karlamangla,"The near-total ban on abortions in Texas that began last week has reverberated across the nation, with abortion rights advocates fearful of what’s to come as lawmakers in some states pledge to follow suit."
The Epic Life of the Woman Behind Roe v. Wade,"“The Family Roe,” by Joshua Prager, is a nuanced, deeply reported portrait of Norma McCorvey, known to most Americans as Jane Roe, the plaintiff in the case that won abortion rights for U.S. women.",https://www.nytimes.com/2021/09/09/books/review/family-roe-joshua-prager.html,2021-09-09,Books,By Anand Giridharadas,THE FAMILY ROE An American Story By Joshua Prager
The Justice Dept. sues Texas over its new restrictive abortion law.,"The move is the first major step by the Biden administration to confront the new law, the nation’s most restrictive in terms of abortion access.",https://www.nytimes.com/2021/09/09/us/politics/texas-abortion-law-justice-department-lawsuit.html,2021-09-09,U.S.,By Katie Benner,"The Justice Department sued Texas on Thursday over its recently enacted law that prohibits nearly all abortions in the state, the first significant step by the Biden administration to fight the nation’s most restrictive ban on abortion and a move that could once again put the statute before the Supreme Court."
Here’s What the Texas Abortion Law Says,"We took an up-close look at the text of S.B. 8, which bans almost all abortions in Texas and delegates enforcement responsibility to citizens.",https://www.nytimes.com/article/abortion-law-texas.html,2021-09-09,U.S.,By Maggie Astor,A new Texas law that the Supreme Court did not block last week has made abortion functionally illegal in the state. Several other states have tried over the years to limit or ban abortions before fetal viability but have not managed to maneuver past the courts.
"As Abortion Rights Expand, the U.S. Joins a Handful of Telling Exceptions",Recent shifts on access to abortion suggest democracy and women’s rights go hand in hand — and that the inverse might be true as well.,https://www.nytimes.com/2021/09/09/world/abortion-rights-us.html,2021-09-09,World,By Max Fisher,The story of abortion rights in the 21st century can be seen in two world-shaking developments this past week.
The Texas Abortion Law Creates a Kind of Bounty Hunter. Here’s How It Works.,There is little precedent for the provision that deputizes ordinary citizens to enforce an effective ban on abortions — and offers them a financial incentive to do so.,https://www.nytimes.com/2021/09/10/us/politics/texas-abortion-law-facts.html,2021-09-10,U.S.,By Alan Feuer,"The new law in Texas effectively banning most abortions has ignited widespread controversy and debate, in part because of the mechanism it uses to enforce the restrictions: deputizing ordinary people to sue those involved in performing abortions and giving them a financial incentive to do so."
"Behind the Texas Abortion Law, a Persevering Conservative Lawyer","Jonathan Mitchell has never had a high profile in the anti-abortion movement, but he developed and promoted the legal approach that has flummoxed the courts and enraged abortion rights supporters.",https://www.nytimes.com/2021/09/12/us/politics/texas-abortion-lawyer-jonathan-mitchell.html,2021-09-12,U.S.,By Michael S. Schmidt,Jonathan F. Mitchell grew increasingly dismayed as he read the Supreme Court’s decision in June 2016 striking down major portions of a Texas anti-abortion bill he had helped write.
Even Texas Allows Abortions to Protect a Woman’s Life. Or Does It?,History shows us that what counts as a threat to a womans life isn't always clear-cut.,https://www.nytimes.com/2021/09/12/opinion/abortion-texas-roe.html,2021-09-12,Opinion,By Carole Joffe and Jody Steinauer,"Join us, if you will, in a thought experiment. It’s the fall of 2022. Dr. H., an obstetrician-gynecologist, practices in a red state. Much has changed in the reproductive rights landscape by then: In the spring, her state rushed to pass a law similar to the notorious 2021 Texas law that bans a large majority of abortions and incentivizes private citizens to sue anyone helping someone get an abortion. The Supreme Court also overturned Roe v. Wade in the Dobbs v. Jackson Women’s Health Organization case that year, leaving the issue of abortion regulation to individual states; a few years before, Dr. H.’s state passed a trigger ban that automatically banned the few abortions that were still legal in the state when Roe fell. In her state, the law now allows an abortion only when a pregnancy threatens the life of a pregnant person."
Union Veteran Takes Over at Emily’s List as Abortion Fights Loom,"Laphonza Butler, a labor leader turned strategist, will become the first woman of color — and the first mother — to lead the Democratic fund-raising powerhouse.",https://www.nytimes.com/2021/09/13/us/politics/emilys-list-new-president-laphonza-butler.html,2021-09-13,U.S.,By Lisa Lerer,"Emily’s List, the fund-raising powerhouse that has helped elect hundreds of women who support abortion rights, has chosen Laphonza Butler, a former union leader and well-connected Democratic strategist in California, as its next president."
Abortion Is No Longer a Crime in Mexico. But Will Doctors Object?,Another battle looms over whether public hospitals will be required to offer the procedure.,https://www.nytimes.com/2021/09/13/world/americas/mexico-abortion-objectors.html,2021-09-13,World,By Natalie Kitroeff and Oscar Lopez,"MEXICO CITY — As soon as the nurse found out that she had an abortion at home, Fernanda García knew she was in danger. The nurse began yelling that she was a criminal, that what she had done was wrong, that she would be sent to jail."
Abortion After the Clinic,"As Republican lawmakers try to legislate it out of existence, the future of reproductive healthcare may be at home.",https://www.nytimes.com/2021/09/13/abortion-after-the-clinic.html,2021-09-13,,,"As Republican lawmakers try to legislate it out of existence, the future of reproductive healthcare may be at home."
Supreme Court Urged to Reject Mississippi’s Attack on Roe v. Wade,"In a new brief in a major abortion case, a clinic and a doctor asked the court to strike down a state law largely banning the procedure after 15 weeks of pregnancy.",https://www.nytimes.com/2021/09/13/us/politics/mississippi-abortion-supreme-court.html,2021-09-13,U.S.,By Adam Liptak,"WASHINGTON — Abortion providers in Mississippi urged the Supreme Court on Monday to reaffirm Roe v. Wade, the 1973 decision that established a constitutional right to abortion."
Texas’ Abortion Law Traps Desperate Teenagers,The six-week ban is tragic for adults. It’s worse for minors.,https://www.nytimes.com/2021/09/13/opinion/abortion-texas-teens.html,2021-09-14,Opinion,By Michelle Goldberg,"In Texas, teenagers who need abortions must get their parents’ consent, but for many young people, that’s not an option. Maybe they’re in foster care, or they’re unaccompanied minors in immigration detention, in which case the government has legal authority over them. Maybe their parents are abusive, or adamantly opposed to abortion."
Texas’ ‘Appalling’ New Abortion Law,“American women are careening closer and closer to square one for control of reproductive choice.” Also: Torture; giving Biden some time; OnlyFans.,https://www.nytimes.com/2021/09/14/opinion/letters/texas-abortion.html,2021-09-14,Opinion,,To the Editor:
Justice Dept. Asks Judge to Block Texas’ Restrictive Abortion Law,"The department sued Texas last week over its recently enacted law, which prohibits nearly all abortions in the state.",https://www.nytimes.com/2021/09/14/us/politics/texas-abortion-justice-department.html,2021-09-15,U.S.,By Katie Benner,"WASHINGTON — The Justice Department asked a federal judge late Tuesday to issue an order that would prevent Texas from enforcing a law that prohibits nearly all abortions, ratcheting up a fight between the Biden administration and the state’s Republican leaders."
Justice Dept.’s Emergency Motion Asking a Judge to Block Texas’ Abortion Law,The Justice Department asked a federal judge late Tuesday to issue an order that would prevent Texas from enacting a law that prohibits nearly all abortions.,https://www.nytimes.com/interactive/2021/09/14/us/politics/texas-abortion-justice-dept.html,2021-09-15,U.S.,,The Justice Department asked a federal judge late Tuesday to issue an order that would prevent Texas from enacting a law that prohibits nearly all abortions.
Abortion Has Never Been Just About Abortion,The way it became a “godsend” for the right is a peculiar tale.,https://www.nytimes.com/2021/09/15/opinion/abortion-evangelicals-conservatives.html,2021-09-15,Opinion,By Thomas B. Edsall,"As recently as 1984, abortion was not a deeply partisan issue."
Mexico’s Path to Legalizing Abortion,"A landmark Supreme Court ruling in the country has decriminalized the procedure, but will changing the law also change attitudes?",https://www.nytimes.com/2021/09/15/podcasts/the-daily/mexico-abortion-supreme-court.html,2021-09-15,Podcasts,"By Kevin Roose, Soraya Shockley, Rob Szypko, Chelsea Daniel, Michael Simon Johnson, M.J. Davis Lin, Marion Lozano, Dan Powell and Chris Wood","In a major turn of events in Mexico, which has one of the largest Catholic populations in the world, its Supreme Court last week decriminalized abortions."
Pope Weighs In on Calls to Deny Communion to Biden Over Abortion,"“What must the pastor do?” Francis said when a reporter asked him about the subject. “Be a pastor, don’t go condemning.”",https://www.nytimes.com/2021/09/15/world/europe/pope-francis-biden-abortion.html,2021-09-15,World,"By Elisabetta Povoledo, Richard Pérez-Peña and Ruth Graham","ROME — Pope Francis weighed in on Wednesday on a debate roiling the Roman Catholic Church in the United States, where conservative bishops are pushing for guidelines that would deny communion to politicians, like President Biden, who support abortion rights."
Does Elizabeth Holmes’s Gender Matter?,Answering your questions about her trial.,https://www.nytimes.com/2021/09/17/podcasts/elizabeth-holmes-gender.html,2021-09-17,Podcasts,,"This week on The Daily was all about health care — covering vaccine mandates, questionable diagnoses and prescriptions in nursing homes, abortion in Mexico and the Elizabeth Holmes trial. Below, we answer some of your questions about the trial, and talk to our producer about her experience behind the scenes making the one outlier episode of the week, today’s show about Broadway’s reopening."
The Abortion Doctor and His Accuser,"When an activist accused one of the most respected physicians in the movement of sexually assaulting her, everyone quickly took sides.",https://www.nytimes.com/2021/09/17/podcasts/the-abortion-doctor-and-his-accuser.html,2021-09-17,Podcasts,,"When an activist accused one of the most respected physicians in the movement of sexually assaulting her, everyone quickly took sides."
Religious Beliefs and Abortion Laws,How religious belief affect abortion laws and vaccination.,https://www.nytimes.com/2021/09/18/opinion/letters/religion-abortion.html,2021-09-18,Opinion,,To the Editor:
Texas Doctor Says He Performed an Abortion in Defiance of New State Law,"In an opinion essay in The Washington Post titled “Why I violated Texas’s extreme abortion ban,” Dr. Alan Braid wrote, “I am taking a personal risk, but it’s something I believe in strongly.”",https://www.nytimes.com/2021/09/18/us/texas-abortion-alan-braid.html,2021-09-19,U.S.,By Michael Levenson,"A Texas doctor disclosed on Saturday that he had performed an abortion in defiance of a new state law that bans most abortions after six weeks of pregnancy, setting up a potential test case of one of the most restrictive abortion measures in the nation."
"Quotation of the Day: Texas Lawmakers, After Shift to Right, Plan More of Same","Quotation of the Day for Sunday, September 19, 2021.",https://www.nytimes.com/2021/09/19/todayspaper/quotation-of-the-day-texas-lawmakers-after-shift-to-right-plan-more-of-same.html,2021-09-19,Today’s Paper,,"“Texans are watching their state government that is consumed with these partisan debates over abortion and election reform, but they’re actually living in a state where schools can’t give clear safety guidance on Covid. The concern is that the conservative faction has gone too far and is damaging our state’s reputation.”"
"With Abortion Rights Under Threat, Democrats Hope to Go on Offense","Warning of Texas-style laws nationwide, the party believes it can use the issue to turn out suburban women in the Virginia governor’s race this fall and the 2022 midterms.",https://www.nytimes.com/2021/09/19/us/politics/abortion-rights-virginia-voters.html,2021-09-19,U.S.,By Trip Gabriel,"VIRGINIA BEACH — Kenzie Smith is “not big into politics,” she said, and while she votes faithfully in presidential elections, for Democrats, she is less interested in off-year races, such as those seven weeks away in Virginia for governor and the legislature."
How Texas Has Made My Job of Helping Women More Dangerous,Navigating care for pregnancy and abortion in Texas is impossible.,https://www.nytimes.com/2021/09/20/opinion/texas-abortion-provider.html,2021-09-20,Opinion,By Ghazaleh Moayedi,"It’s not brave for me to be an abortion provider in Texas. This is my home, too. I have a lot of support from my community. I work at several types of clinics here and in Oklahoma — independent ones, mostly. I went to medical school with the express intent to provide abortions in my home state."
OkCupid Introduces Feature in Support of Abortion Rights,Users now have the option to add a “pro-choice” badge to their profiles.,https://www.nytimes.com/2021/09/20/style/okcupid-abortion-rights-badge.html,2021-09-20,Style,By Valeriya Safronova,The dating service OkCupid has introduced a way for users to clearly indicate their support of abortion rights: a “pro-choice” badge that appears prominently in a dating profile.
‘We Are Women Who Came of Age Before Roe v. Wade’,The Texas abortion law; an angry France; mental illness in prison; conservatives and Trumpists; refuge in Albania; endangered whales; a former anti-vaxxer.,https://www.nytimes.com/2021/09/20/opinion/letters/abortion-texas.html,2021-09-20,Opinion,,To the Editor:
"Most Americans disagree with the Supreme Court decision on Texas’ abortion ban, a poll finds.",Monmouth University Poll released its findings the same day the Supreme Court added hearings on a Mississippi abortion case.,https://www.nytimes.com/2021/09/20/us/politics/abortion-poll.html,2021-09-20,U.S.,By Trip Gabriel,"A majority of Americans disapproves of the Supreme Court’s recent decision to allow a ban on most abortions to take effect in Texas, with key aspects of the law — such as empowering private citizens to enforce it through lawsuits — proving overwhelmingly unpopular, according to a national poll released on Monday."
"Progressives Worry Their Priorities Will Be Left Behind, Despite Biden’s Bold Words","The White House says it is committed to reducing gun violence, keeping abortion safe and legal, and protecting voting rights. But that has done little to ease anxiety among activists.",https://www.nytimes.com/2021/09/20/us/politics/biden-progressives.html,2021-09-20,U.S.,By Annie Karni,"WASHINGTON — President Biden’s passionate language on reducing gun violence, safeguarding access to abortion and protecting voting rights has lifted the hopes of progressives who were once wary of electing a traditionalist who champions compromise."
"Irma Kalish, TV Writer Who Tackled Social Issues, Dies at 96","A female trailblazer in the TV industry, she and her husband took on topics like rape and abortion in writing for sitcoms like “All in the Family” and “Maude.”",https://www.nytimes.com/2021/09/20/arts/television/irma-kalish-dead.html,2021-09-20,Arts,By Annabelle Williams,"Irma Kalish, a television writer who tackled abortion, rape and other provocative issues in many of the biggest comedy hits of the 1960s and beyond as she helped usher women into the writer’s room, died on Sept. 3 in Woodland Hills, Calif. She was 96. "
Lawsuits are filed against a Texas doctor who said he performed an abortion.,"The suits, brought by men in Arkansas and Illinois, appear to be the first under a state law that bans most abortions after the six-week mark.",https://www.nytimes.com/2021/09/20/us/texas-abortion-lawsuit-alan-braid.html,2021-09-20,U.S.,By J. David Goodman,"HOUSTON — A man in Arkansas and another in Illinois on Monday filed what appeared to be the first legal actions under a strict new abortion law in Texas that is enforced by ordinary citizens, regardless of where they live."
Justice Dept. Urges Supreme Court to Uphold Roe v. Wade,The department also sought permission to present oral arguments in December when the court hears a case challenging Mississippi’s restrictive abortion law.,https://www.nytimes.com/2021/09/20/us/politics/justice-department-mississippi-abortion.html,2021-09-21,U.S.,By Katie Benner,"WASHINGTON — The Justice Department urged the Supreme Court on Monday to reaffirm Roe v. Wade when it hears a case challenging Mississippi’s restrictive abortion law later this year, arguing that any other decision would uphold an unconstitutional law and undermine a doctrine that gives power to Supreme Court precedents."
"In Spain, Abortions Are Legal, but Many Doctors Refuse to Perform Them","Many physicians in the country call themselves “conscientious objectors” and deny the procedures, often forcing women to travel long distances for one.",https://www.nytimes.com/2021/09/21/world/europe/spain-abortion-doctors.html,2021-09-21,World,By Nicholas Casey,"ZARAGOZA, Spain — Dr. Mercedes Sobreviela, a gynecologist in this city in northeast Spain, believes it is a woman’s choice whether she has an abortion. She says the “right decision” for a woman is “always the one she wants.”"
We’re on the Precipice of a Post-Roe World,The historian Leslie Reagan puts Texas’ latest abortion law in perspective.,https://www.nytimes.com/2021/09/21/opinion/ezra-klein-podcast-leslie-reagan.html,2021-09-21,Opinion,By ‘The Ezra Klein Show',"A few weeks ago, the Supreme Court let stand a Texas law creating a system of vigilante legal enforcement against anyone who participates in an abortion after the point of fetal cardiac activity. In effect, Texas’ law bans abortions after about six weeks, which is long before many women even know they’re pregnant. And soon the court will hear arguments on a Mississippi abortion ban that will give the justices the chance to overturn Roe v. Wade directly."
This Is for All the Girls Who Grew Up Thinking Abortion Meant Death or Jail,The Mexican Supreme Court’s decision followed years of feminist activism.,https://www.nytimes.com/2021/09/21/opinion/mexico-decriminalize-abortion.html,2021-09-21,Opinion,By Melissa Ayala,"Growing up in the 1990s in a Catholic household outside of Mexico City, I learned as a young girl that abortion was out of the question. When I reached my adolescent years, the only representation I had ever seen of abortion in pop culture was in the film “The Crime of Padre Amaro.” In the movie, the priest impregnates a young woman, then takes her to an unsanitary and illegal clinic. The abortion goes wrong; she dies. The message landed: I was sure that having an abortion would lead to death."
Lawsuits Filed Against Texas Doctor Could Be Best Tests of Abortion Law,Legal experts said two lawsuits filed this week might test the constitutionality of the Texas law more than federal challenges by abortion providers and the Justice Department.,https://www.nytimes.com/2021/09/21/us/texas-abortion-lawsuits.html,2021-09-21,U.S.,"By Ruth Graham, Adam Liptak and J. David Goodman","DALLAS — When the United States’ most restrictive abortion law went into effect in Texas on Sept. 1, it worked exactly as intended: It effectively stopped all abortions in the second-most populous state."
"With Roe Under Threat, House Plans to Vote on Bill to Counter Abortion Curbs","The measure has little chance of becoming law, but its consideration reflects a view among Democrats that the issue could resonate in midterm congressional elections.",https://www.nytimes.com/2021/09/23/us/politics/abortion-bill-house-democrats.html,2021-09-23,U.S.,By Carl Hulse,"WASHINGTON — House Democrats plan on Friday to push through broad legislation to uphold abortion rights, taking urgent action after a major Supreme Court setback as they brace for a ruling next year that could further roll back access to abortion nationwide."
Abortion Providers Ask Supreme Court for Fast Review of Texas Ban,The new filing asks the justices to use an unusual procedure to rule on a law that bans most abortions after six weeks and was designed to avoid judicial scrutiny.,https://www.nytimes.com/2021/09/23/us/politics/supreme-court-abortion-texas.html,2021-09-23,U.S.,By Adam Liptak,"WASHINGTON — Abortion providers in Texas returned to the Supreme Court on Thursday, asking the justices to take another look at their challenge to a state law that bans most abortions after six weeks and was designed to evade review in federal court."
Comedians Turn Their Attention to Abortion,Alison Leiby has an hourlong set looking at the experience of an unwanted pregnancy. She’s among a spate of female artists finding humor in the issue.,https://www.nytimes.com/2021/09/24/arts/television/abortion-comedy.html,2021-09-24,Arts,By Jason Zinoman,"A stand-up show about abortion sounds like a bad idea. The comic Alison Leiby knows that. Just look at her title: “Oh God, an Hour About Abortion.”"
House approves measure to protect abortion rights amid threats from states and the courts.,"The Women’s Health Protection Act is unlikely to advance in the Senate, but its passage reflected a sense of urgency by Democrats to maintain abortion access nationwide.",https://www.nytimes.com/2021/09/24/us/politics/abortion-rights-bill-house.html,2021-09-24,U.S.,By Carl Hulse,"WASHINGTON — The House narrowly approved a measure on Friday intended to enact abortion rights into federal law, as Democrats sought to counter efforts at the state level to restrict abortions and growing hostility to abortion rights from the conservative-leaning Supreme Court."
"With Abortion Largely Banned in Texas, an Oklahoma Clinic Is Inundated","The new law prohibits abortions after about six weeks, a very early stage of pregnancy. Many women are now traveling out of state for the procedure.",https://www.nytimes.com/2021/09/26/us/oklahoma-abortion.html,2021-09-26,U.S.,By Sabrina Tavernise,"OKLAHOMA CITY — On a windy Tuesday morning, the parking lot outside a small brick building on the Southside of Oklahoma City was filling up fast. The first to arrive, a red truck shortly before 8 a.m., was from Texas. So was the second and the third."
Antibody Treatments: Paying for Anti-Vaxxers’ Irresponsibility,Antivaxxers and antibodies; a false health care choice; recalling an abortion; wild animals in national parks; whitewashing Jan. 6.,https://www.nytimes.com/2021/09/26/opinion/letters/covid-antibodies-anti-vaxxers.html,2021-09-26,Opinion,,To the Editor:
Why Scores of Female Athletes Are Speaking Out on Abortion Rights,"With a Supreme Court ruling in the balance, an Olympic medalist joined a group of more than 500 athletes supporting reproductive rights.",https://www.nytimes.com/2021/09/27/sports/women-athletes-abortion-rights-brief.html,2021-09-27,Sports,By Kurt Streeter,Crissy Perham had never spoken publicly about her choice.
China’s Vow to Reduce Abortions Sparks Public Worries,"The short mention in a sweeping health plan lacked specifics, but it set off concerns in a country with a history of intrusive reproductive policies.",https://www.nytimes.com/2021/09/27/world/asia/china-abortion-limits.html,2021-09-27,World,By Vivian Wang,"China will aim to reduce the prevalence of “medically unnecessary” abortions, according to guidelines released by the central government on Monday, as part of a sweeping plan for women’s and children’s health over the next decade."
‘I Want to Go to a Hospital or Clinic Where Everyone Is Vaccinated’,Vaccine mandates in hospitals and schools; Haitians and immigration policy; abortion and Republicans.,https://www.nytimes.com/2021/09/28/opinion/letters/covid-vaccine-mandates.html,2021-09-28,Opinion,,To the Editor:
Lesson of the Day: ‘Answers to Questions About the Texas Abortion Law’,"Students will learn about a new Texas law that effectively bans abortion, then share their opinions about the status of abortion rights right now.",https://www.nytimes.com/2021/09/30/learning/lesson-of-the-day-answers-to-questions-about-the-texas-abortion-law.html,2021-09-30,The Learning Network,By Michael Gonchar,Featured Article: “Answers to Questions About the Texas Abortion Law” by Roni Caryn Rabin
What Is Your Reaction to the State of Abortion Rights in 2021?,Recent judicial decisions restricted abortion rights in Texas and expanded them in Mexico. What do these developments mean to you?,https://www.nytimes.com/2021/09/30/learning/what-is-your-reaction-to-the-state-of-abortion-rights-in-2021.html,2021-09-30,The Learning Network,By Callie Holtermann,"Please Note: We ask that adults respect the intent of our Student Opinion questions and refrain from posting here. While there are many other places on NYTimes.com for adults to have their say, this is the only forum that explicitly invites the voices of young people."
"If You’re Feeling ‘Fatalistic’ About Our Dystopia, You’re Not Alone",It’s hard to stay mobilized after five years of unceasing crises.,https://www.nytimes.com/2021/10/01/opinion/abortion-activism-march.html,2021-10-01,Opinion,By Michelle Goldberg,"This Saturday, there will be demonstrations across the country to protest Texas’ crowdsourced abortion ban and the Supreme Court’s refusal to enjoin it. It could be a broad mobilization. Rachel O’Leary Carmona, executive director of the Women’s March, part of the coalition organizing the protests, told me there are 650 marches planned nationwide. I’ll be happily surprised, however, if any of the events are very large. Organizers have applied for a permit for 10,000 people in Washington. That’s about 10 percent of the people who showed up there for the third Women’s March in 2019."
‘They Don’t Understand That We’re Real People’,The new Texas abortion law — the country’s most restrictive — is already having an impact in the state and elsewhere.,https://www.nytimes.com/2021/10/01/podcasts/the-daily/texas-abortion-law-oklahoma.html,2021-10-01,Podcasts,"By Sabrina Tavernise, Clare Toeniskoetter, Kaitlin Roberts, Jessica Cheung, Daniel Guillemette, Lisa Chow, Marion Lozano, Elisheba Ittoop and Chris Wood",This episode contains strong language. 
A Third Pandemic School Year,"We called our sources in Odessa, Texas, to check in.",https://www.nytimes.com/2021/10/01/podcasts/a-third-pandemic-school-year.html,2021-10-01,Podcasts,By Lauren Jackson and Soraya Shockley,"Welcome to the weekend. Britney Spears, abortion, Haitian refugees: We covered a lot of ground on the show this week. Was there an episode that stood out to you — or one you’d like us to follow up on? Let us know. We always love to hear from you."
Was the Decision on Boosters Bungled?,Readers discuss the government’s handling of the issue. Also: Abortion stories; criminal justice reform;  voice recognition; extinct species.,https://www.nytimes.com/2021/10/01/opinion/letters/covid-booster-vaccines.html,2021-10-01,Opinion,,To the Editor:
Federal Judge Hears Arguments Over Texas Abortion Law,"The Justice Department said the law was intended to “violate the Constitution,” and asked for it to be suspended while the courts determine if it is legal.",https://www.nytimes.com/2021/10/01/us/politics/texas-abortion-law-hearing.html,2021-10-01,U.S.,By Katie Benner and Sabrina Tavernise,WASHINGTON — A federal judge heard arguments on Friday from the State of Texas and the federal government on whether a Texas law that bans nearly all abortions in the state should be suspended while the courts decide if it is legal.
"Supporters of Abortion Rights, at Nationwide Marches, Try to Regain Momentum",A nationwide march for abortion rights on Saturday offered an early test of Democratic enthusiasm in the post-Trump era.,https://www.nytimes.com/2021/10/02/us/politics/abortion-rights-march.html,2021-10-02,U.S.,By Lisa Lerer and Campbell Robertson,"Last fall, Hannah Dasgupta spent her days focused on politics, channeling her fear and anger over President Donald J. Trump into activism. Worried about the future of abortion rights, among other issues, during the Trump administration, she joined a group of suburban Ohio women who were working to elect Democrats."
Demonstrators March for Abortion Rights,"Thousands participated across the United States in the fifth annual Women’s March, specifically focused on abortion rights.",https://www.nytimes.com/video/us/100000008005317/march-abortion-rights.html,2021-10-02,U.S.,By The Associated Press and Storyful,"Thousands participated across the United States in the fifth annual Women’s March, specifically focused on abortion rights."
"Back on the Bench, the Supreme Court Faces a Blockbuster Term","The court, which is dominated by six Republican appointees, will confront a charged docket, including a case asking it to overrule Roe v. Wade.",https://www.nytimes.com/2021/10/03/us/politics/supreme-court-new-term.html,2021-10-03,U.S.,By Adam Liptak,"WASHINGTON — A transformed Supreme Court returns to the bench on Monday to start a momentous term in which it will consider eliminating the constitutional right to abortion, vastly expanding gun rights and further chipping away at the wall separating church and state."
If Men Needed the Abortions …,It feels like Roe v. Wade is under threat in a way that it hasn’t been in recent memory. ,https://www.nytimes.com/2021/10/03/opinion/abortion-congress-testimony.html,2021-10-03,Opinion,By Charles M. Blow,"On Thursday, three women of color — sitting members of Congress — testified before the House Committee on Oversight and Reform about abortions they had received, describing, in some cases, the stigma attached to them."
Your Monday Briefing,The Supreme Court returns to the bench.,https://www.nytimes.com/2021/10/03/briefing/supreme-court-germany-parliament.html,2021-10-04,Briefing,By Natasha Frost,"The U.S. Supreme Court returns to the bench today to start a term in which it will consider eliminating the constitutional right to abortion, vastly expanding gun rights and chipping away at the wall separating church and state."
"Conservatives, Often Wary of Foreign Law, Look Abroad in Abortion Case","When the Supreme Court hears arguments this fall in a big abortion case from Mississippi, it will consider dueling accounts of international practices.",https://www.nytimes.com/2021/10/04/us/politics/abortion-conservatives-foreign-law.html,2021-10-04,U.S.,By Adam Liptak,"WASHINGTON — Not so long ago, conservatives found it maddening when U.S. judges cited foreign law in their decisions interpreting the Constitution."
How Californians View Abortion,"About one in five support Roe v. Wade being overturned, a number that has remained largely unchanged for more than a decade.",https://www.nytimes.com/2021/10/04/us/california-abortion-roe-v-wade.html,2021-10-04,U.S.,By Soumya Karlamangla,The hundreds of women’s marches staged across the country over the weekend had a clear rallying cry: Don’t let America go the way of Texas.
